OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1
24;1;AFG;Afghanistan;24;Nuristan
45;3;ALA;Åland;9;Kumlinge
115;6;ASM;American Samoa;3;Unorganized
143;11;ATG;Antigua and Barbuda;2;Redonda
185;15;AUS;Australia;1;Ashmore and Cartier Islands
187;15;AUS;Australia;3;Coral Sea Islands
235;18;BHS;Bahamas;19;Mayaguana
241;18;BHS;Bahamas;25;Ragged Island
247;18;BHS;Bahamas;31;Spanish Wells
313;27;BTN;Bhutan;4;Gasa
315;27;BTN;Bhutan;6;Lhuentse
442;39;BDI;Burundi;5;Cankuzo
499;42;CAN;Canada;8;Nunavut
536;46;CAF;Central African Republic;3;Basse-Kotto
537;46;CAF;Central African Republic;4;Haut-Mbomou
539;46;CAF;Central African Republic;6;Kémo
540;46;CAF;Central African Republic;7;Lobaye
542;46;CAF;Central African Republic;9;Mbomou
543;46;CAF;Central African Republic;10;Nana-Grébizi
556;47;TCD;Chad;6;Ennedi Ouest
571;47;TCD;Chad;21;Tibesti
810;68;ECU;Ecuador;17;Orellana
861;71;GNQ;Equatorial Guinea;2;Bioko Norte
862;71;GNQ;Equatorial Guinea;3;Bioko Sur
909;77;FJI;Fiji;4;Rotuma
945;82;ATF;French Southern Territories;1;Îles Éparses
946;82;ATF;French Southern Territories;2;Îles Crozet
947;82;ATF;French Southern Territories;3;Îles Saint Paul et Amsterdam
948;82;ATF;French Southern Territories;4;Kerguelen
1003;89;GRC;Greece;2;Athos
1011;90;GRL;Greenland;2;Northeast Greenland National Park
1069;95;GGY;Guernsey;5;Herm
1070;95;GGY;Guernsey;6;Jethou
1083;96;GNB;Guinea-Bissau;4;Bolama
1084;96;GNB;Guinea-Bissau;5;Cacheu
1087;96;GNB;Guinea-Bissau;8;Quinara
1088;96;GNB;Guinea-Bissau;9;Tombali
1505;118;KEN;Kenya;47;West Pokot
1571;127;LBR;Liberia;3;Gbapolu
1572;127;LBR;Liberia;4;Grand Cape Mount
1575;127;LBR;Liberia;7;GrandKru
1581;127;LBR;Liberia;13;River Cess
1793;143;MUS;Mauritius;1;Agalega Islands
1803;143;MUS;Mauritius;11;Saint Brandon
1938;151;MSR;Montserrat;1;Saint Anthon
1995;156;NRU;Nauru;1;Aiwo
2034;160;NZL;New Zealand;4;Chatham Islands
